,tau,corrFit,corrIn
0,7.5e-07,0.998028972196,0.99803
1,8.75e-07,0.9991101980249999,0.999111
2,1e-06,1.0,1.0
3,1.125e-06,0.9997540151290001,0.999754
4,1.25e-06,0.9992781303210001,0.999278
5,1.375e-06,0.9969343531559999,0.996935
6,1.5e-06,0.9967706114560001,0.996771
7,1.625e-06,0.9978831214809999,0.997884
8,1.75e-06,0.9996920237160001,0.999692
9,1.875e-06,0.9979170857640001,0.997918
10,2e-06,0.9989222905210001,0.998923
11,2.25e-06,0.997128064969,0.997128
12,2.5e-06,0.997807203409,0.997807
13,2.75e-06,0.9984825760810001,0.998483
14,3e-06,0.9957844521000001,0.995785
15,3.25e-06,0.9973937004160001,0.997393
16,3.5e-06,0.997189976836,0.99719
17,3.75e-06,0.9978371707239999,0.997837
18,4e-06,0.9974356460889999,0.997435
19,4.5e-06,0.9968165376490001,0.996816
20,5e-06,0.9966707755560001,0.99667
21,5.5e-06,0.997130062096,0.99713
22,6e-06,0.9974016900000001,0.997401
23,6.5e-06,0.9972179376640001,0.997217
24,7e-06,0.997114085136,0.997115
25,7.5e-06,0.9951259536,0.995125
26,8e-06,0.996111786916,0.996112
27,9e-06,0.996157697929,0.996157
28,1e-05,0.995690652649,0.995691
29,1.1e-05,0.9950202150490001,0.99502
30,1.2e-05,0.9950521355290001,0.995052
31,1.3e-05,0.994709017201,0.994708
32,1.4e-05,0.9945215240489998,0.994522
33,1.5e-05,0.9941485849,0.994148
34,1.6e-05,0.994086767521,0.994086
35,1.8e-05,0.9934567387290001,0.993456
36,2e-05,0.992930538681,0.99293
37,2.2e-05,0.992621660416,0.992622
38,2.4e-05,0.9915041220490001,0.991505
39,2.6e-05,0.991354766224,0.991355
40,2.8e-05,0.991275114384,0.991276
41,3e-05,0.9903215322009999,0.990321
42,3.2e-05,0.9900369400359998,0.990036
43,3.6e-05,0.988865169889,0.988865
44,4e-05,0.9878710028890001,0.987871
45,4.4e-05,0.986795877376,0.986796
46,4.8e-05,0.985826580544,0.985826
47,5.2e-05,0.984861729604,0.984862
48,5.6e-05,0.9836474040999998,0.983648
49,6e-05,0.982810511424,0.982811
50,6.4e-05,0.9816767136160001,0.981676
51,7.2e-05,0.9797079992039999,0.979707
52,8e-05,0.9777155520249999,0.977716
53,8.8e-05,0.975464374336,0.975465
54,9.6e-05,0.973407184996,0.973407
55,0.000104,0.971093964481,0.971094
56,0.000112,0.9689665783210001,0.968966
57,0.00012,0.9670539253209999,0.967053
58,0.000128,0.964899537849,0.964899
59,0.000144,0.960807723264,0.960808
60,0.00016,0.9565641976810001,0.956564
61,0.000176,0.9523983762810001,0.952398
62,0.000192,0.9483760317159999,0.948376
63,0.000208,0.9443835784360001,0.944384
64,0.000224,0.9402793024,0.94028
65,0.00024,0.9362962053760001,0.936297
66,0.000256,0.9322192152250001,0.932219
67,0.000288,0.9243130337440001,0.924314
68,0.00032,0.916417546209,0.916417
69,0.000352,0.9084262969960001,0.908426
70,0.000384,0.9006370623609999,0.900638
71,0.000416,0.8927793169,0.892779
72,0.000448,0.8850067995040001,0.885006
73,0.00048,0.877423750681,0.877424
74,0.000512,0.8691739670249999,0.869174
75,0.000576,0.8543249442090001,0.854325
76,0.00064,0.839803622464,0.839803
77,0.000704,0.8255303365690001,0.82553
78,0.000768,0.8114838789759999,0.811483
79,0.000832,0.7977633669759999,0.797764
80,0.000896,0.7841775494440001,0.784178
81,0.00096,0.770713677409,0.770714
82,0.001024,0.7578990894759999,0.757899
83,0.001152,0.732504898225,0.732505
84,0.00128,0.707960691216,0.707961
85,0.001408,0.6843111273610001,0.684311
86,0.001536,0.6614422506809999,0.661443
87,0.001664,0.6393153831839999,0.639315
88,0.001792,0.6181120124010001,0.618112
89,0.00192,0.5977640151039999,0.597764
90,0.002016,0.5840826480089999,0.584083
91,0.002272,0.546465428289,0.546465
92,0.002528,0.5115167616159999,0.511517
93,0.002784,0.4789470436,0.478947
94,0.00304,0.44831193272099995,0.448312
95,0.003296,0.41983142713599997,0.419832
96,0.003552,0.393255664201,0.393256
97,0.003808,0.3685182012489999,0.368518
98,0.004064,0.34595806512399996,0.345958
99,0.004576,0.304165486144,0.304165
100,0.005088,0.26784972176399996,0.26785
101,0.0056,0.23552094302499998,0.235521
102,0.006112,0.20686305168400002,0.206863
103,0.006624,0.18117366602499999,0.181174
104,0.007136,0.157973656681,0.157974
105,0.007648,0.137669197444,0.137669
106,0.00816,0.120477021604,0.120477
107,0.009184,0.089952606241,0.0899526
108,0.01021,0.066026899849,0.066027
109,0.01123,0.04813548240400001,0.0481357
110,0.01226,0.035818969081000004,0.0358191
111,0.01328,0.027453838864,0.0274539
112,0.0143,0.021303737764000002,0.0213036
113,0.01533,0.017841212040999997,0.0178413
114,0.01635,0.016004527081000003,0.0160044
115,0.0184,0.011898882724,0.0118988
116,0.02045,0.006618847549690001,0.00661884
117,0.0225,0.0023194530244900003,0.00231945
118,0.02454,0.0008920317156099999,-0.000892029
119,0.02659,1.6907228185600002e-05,-1.69072e-05
120,0.02864,0.00031791959809,-0.00031792
121,0.03069,5.12693232676e-05,5.12693e-05
122,0.03274,0.0013875625,0.00138756
123,0.03683,0.0012694826480400003,0.00126948
124,0.04093,0.0011757972420099998,-0.0011758
125,0.04502,0.007059696484,-0.0070597
126,0.04912,0.00361560487401,-0.00361561
127,0.05322,0.0012354170522499998,-0.00123542
128,0.05731,0.00359213230336,0.00359213
129,0.06141,0.005115625356960001,0.00511562
130,0.0655,0.00107983874881,0.00107984
131,0.0737,0.007794453110439999,-0.00779446
132,0.08189,0.00064315496025,0.000643155
133,0.09008,0.0011451794402500002,0.00114518
134,0.09827,0.0028479086096399996,0.00284791
135,0.1065,0.008111416019560001,0.00811141
136,0.1147,0.005925027465640001,0.00592502
137,0.1228,0.0008981169859600001,0.000898118
138,0.131,0.00197769652369,0.0019777
139,0.1474,0.006864304771209999,0.00686431
140,0.1638,0.00534735337536,0.00534736
141,0.1802,0.00032338828899999996,0.000323387
142,0.1966,0.006591637483209999,-0.00659163
143,0.213,0.00409364513856,-0.00409364
144,0.2293,0.00626961492481,0.00626962
145,0.2457,0.0033920839705599997,0.00339208
146,0.2621,0.00357803759889,0.00357804
147,0.2949,0.0014695415571600002,0.00146954
148,0.3276,0.004725696289690001,-0.00472569
149,0.3604,0.00276640233156,0.0027664
150,0.3932,0.0011559320010000001,0.00115593
151,0.426,0.00105578855041,0.00105579
152,0.4587,0.0036358488039999995,0.00363585
153,0.4915,0.006290234721000001,-0.00629024
154,0.5243,0.0018044229622500001,-0.00180442
155,0.5898,0.0024179544252899998,-0.00241795
156,0.6553,0.00018784621249,-0.000187845
157,0.7209,0.0010646124865600001,0.00106461
158,0.7864,0.00105280131961,-0.0010528
159,0.8519,0.00378302493969,-0.00378302
160,0.9175,0.0027179748096399997,-0.00271797
161,0.983,0.004771659559840001,-0.00477166
162,1.049,0.0014883623884899997,-0.00148836
163,1.18,0.0016590306534400002,0.00165903
164,1.311,0.00072613541961,0.000726134
165,1.442,0.00198478269081,-0.00198478
166,1.573,0.0019971156588100003,-0.00199712
167,1.704,0.0018490172000400003,-0.00184902
168,1.835,0.00040521287400999996,0.000405211
169,1.966,0.0010637186560900002,-0.00106372
170,2.097,0.00017084319849,0.000170844
171,2.359,1.65814283209e-05,-1.65814e-05
172,2.621,0.00077081193225,-0.000770812
173,2.884,0.00031567694929,-0.000315678
174,3.146,0.0004110959002499999,-0.000411095
175,3.408,0.0008722394356899999,-0.000872241
176,3.67,0.0008287143987600001,0.000828717
177,3.932,0.00136251789129,-0.00136252
178,4.194,0.0006825574256400001,-0.000682555
179,4.719,0.0008291117124899999,-0.000829112
180,5.243,0.0019188955470400002,0.0019189
181,5.767,0.00036899336463999997,-0.000368992
